iter	Passed	Remaining
808	16092	3799
809	16108	3778
810	16123	3757
811	16138	3736
812	16153	3715
813	16168	3694
814	16183	3673
815	16198	3652
816	16213	3631
817	16228	3610
818	16244	3590
819	16260	3569
820	16276	3548
821	16291	3527
822	16306	3507
823	16322	3486
824	16337	3465
825	16352	3444
826	16367	3423
827	16382	3403
828	16398	3382
829	16412	3361
830	16427	3340
831	16442	3320
832	16458	3299
833	16474	3279
834	16490	3258
835	16505	3237
836	16523	3217
837	16538	3197
838	16557	3177
839	16572	3156
840	16587	3136
841	16602	3115
842	16617	3094
843	16635	3074
844	16656	3055
845	16674	3035
846	16689	3014
847	16704	2994
848	16722	2974
849	16740	2954
850	16754	2933
851	16771	2913
852	16791	2893
853	16809	2873
854	16829	2854
855	16848	2834
856	16863	2813
857	16878	2793
858	16894	2773
859	16909	2752
860	16925	2732
861	16943	2712
862	16962	2692
863	16980	2672
864	16995	2652
865	17010	2632
866	17025	2611
867	17040	2591
868	17056	2571
869	17072	2551
870	17087	2530
871	17104	2510
872	17119	2490
873	17136	2470
874	17154	2450
875	17169	2430
876	17184	2410
877	17200	2389
878	17214	2369
879	17232	2349
880	17251	2330
881	17270	2310
882	17285	2290
883	17299	2270
884	17314	2249
885	17330	2229
886	17345	2209
887	17361	2189
888	17377	2169
889	17392	2149
890	17407	2129
891	17423	2109
892	17439	2089
893	17454	2069
894	17469	2049
895	17485	2029
896	17500	2009
897	17515	1989
898	17531	1969
899	17546	1949
900	17565	1930
901	17583	1910
902	17604	1891
903	17622	1871
904	17641	1851
905	17661	1832
906	17677	1812
907	17696	1793
908	17711	1773
909	17728	1753
910	17743	1733
911	17759	1713
912	17774	1693
913	17789	1673
914	17804	1654
915	17819	1634
916	17835	1614
917	17852	1594
918	17868	1574
919	17883	1555
920	17899	1535
921	17914	1515
922	17930	1495
923	17946	1476
924	17961	1456
925	17975	1436
926	17990	1416
927	18005	1396
928	18020	1377
929	18036	1357
930	18052	1337
931	18067	1318
932	18082	1298
933	18098	1278
934	18113	1259
935	18133	1239
936	18148	1220
937	18163	1200
938	18178	1180
939	18193	1161
940	18211	1141
941	18230	1122
942	18245	1102
943	18262	1083
944	18277	1063
945	18293	1044
946	18308	1024
947	18323	1005
948	18338	985
949	18354	966
950	18370	946
951	18385	927
952	18402	907
953	18418	888
954	18433	868
955	18449	849
956	18464	829
957	18479	810
958	18495	790
959	18510	771
960	18525	751
961	18540	732
962	18555	712
963	18570	693
964	18586	674
965	18602	654
966	18618	635
967	18633	615
968	18648	596
969	18664	577
970	18679	557
971	18695	538
972	18710	519
973	18724	499
974	18739	480
975	18755	461
976	18771	441
977	18786	422
978	18801	403
979	18815	383
980	18830	364
981	18849	345
982	18865	326
983	18880	306
984	18895	287
985	18911	268
986	18927	249
987	18943	230
988	18958	210
989	18972	191
990	18988	172
991	19003	153
992	19019	134
993	19034	114
994	19048	95
995	19064	76
996	19079	57
997	19095	38
998	19110	19
999	19124	0
